-98	0
-70	3116
-10	3216
-70	3316
-10	3417
-100	3517
-666	3617
-71	19959
4	19858
-1	20514
-70	21015
-71	22227
4	22126
-1	23070
-70	23571
-71	27130
7	27029
-1	27742
-70	28243
-71	28807
7	28706
-1	29281
-70	29782
-71	30272
2	30171
-1	30756
-70	31257
-71	31652
2	31551
-1	32118
-70	32619
-71	33378
0	33277
-1	33780
-70	34281
-71	34621
0	34520
-1	35166
-70	35667
-71	35881
4	35780
-1	36316
-70	36817
-71	40143
6	40042
-1	40552
-70	41053
-71	41321
6	41220
-1	42014
-70	42515
-71	42936
7	42835
-1	43441
-70	43942
-71	44438
2	44337
-1	44860
-70	45361
-71	45548
2	45447
-1	45996
-70	46497
-71	47039
33	46938
-1	47543
-70	48044
-71	48294
36	48193
-1	48796
-70	49297
-71	50019
36	49918
-1	50305
-70	50806
-71	51018
36	50917
-1	51389
-70	51890
-71	52773
38	52672
-1	53265
-70	53766
-71	54033
34	53932
-1	54505
-70	55006
-71	55189
34	55088
-1	55706
-70	56207
-71	56882
32	56781
-1	57237
-70	57738
-71	58485
36	58384
-1	58793
-70	59294
-71	59500
36	59399
-1	59900
-70	60401
-71	60778
36	60677
-1	60915
-70	61416
-71	62191
7	62090
-1	62661
-70	63162
-71	63647
6	63546
-1	63880
-70	64381
-71	64772
7	64671
-1	65116
-70	65617
-71	65866
7	65765
-1	66361
-70	66862
-71	67006
6	66905
-1	67462
-70	67963
-71	68158
2	68057
-1	68526
-70	69027
-71	70371
0	70270
-1	70797
-70	71298
-71	71422
0	71321
-1	71866
-70	72367
-71	72834
4	72733
-1	73048
-70	73549
-71	73830
4	73729
-1	74160
-70	74661
-71	74889
4	74788
-1	75190
-70	75691
-71	75856
4	75755
-1	76083
-70	76584
